label,ch0_norm,ch1_norm,ch2_norm,ch3_norm,ch4_norm
B,0.8920,0.6789,0.1253,0.1460,0.0976
B,0.8920,0.7033,0.1407,0.1556,0.1115
B,0.8779,0.6179,0.0870,0.1206,0.1115
B,0.8920,0.6748,0.1228,0.1270,0.1394
B,0.8779,0.5000,0.0895,0.1460,0.0941
B,0.9108,0.5122,0.0793,0.1302,0.1115
B,0.8779,0.5244,0.0972,0.1270,0.1010
B,0.8920,0.5447,0.1125,0.1365,0.0976
B,0.8920,0.5935,0.1049,0.1556,0.1045
B,0.8779,0.5528,0.1228,0.1460,0.0976
B,0.9014,0.5854,0.1100,0.1683,0.1045
B,0.8920,0.5894,0.1049,0.1270,0.1289
B,0.8779,0.5488,0.1304,0.1556,0.1080
B,0.8826,0.6098,0.0997,0.1365,0.1080
B,0.8779,0.6911,0.1253,0.1619,0.1150
B,0.8826,0.5650,0.0946,0.1492,0.1568
B,0.8920,0.5325,0.1637,0.1302,0.1220
B,0.8920,0.5447,0.1432,0.1111,0.1185
B,0.9108,0.5488,0.1355,0.1270,0.1010
B,0.8685,0.5650,0.1125,0.1746,0.1045
B,0.8545,0.5081,0.1125,0.1619,0.1045
B,0.8451,0.5244,0.0997,0.1365,0.1150
B,0.8826,0.5041,0.1074,0.1302,0.1045
B,0.8732,0.5163,0.0946,0.1270,0.0801
B,0.8826,0.5203,0.1049,0.1302,0.0836
B,0.8732,0.4837,0.0997,0.1429,0.0801
B,0.8873,0.5407,0.1228,0.1460,0.1150
B,0.8451,0.4675,0.1253,0.1460,0.1045
B,0.8779,0.5447,0.1049,0.1302,0.1115
B,0.8263,0.5122,0.1074,0.1302,0.1080
B,0.8638,0.5203,0.0921,0.1333,0.1150
B,0.8779,0.5244,0.1125,0.1365,0.1220
B,0.8779,0.5041,0.0972,0.1333,0.1045
B,0.8685,0.5447,0.1355,0.1302,0.1115
B,0.8685,0.5447,0.0946,0.1397,0.0976
B,0.8779,0.5122,0.1355,0.1333,0.1150
B,0.8779,0.4837,0.1049,0.1302,0.1220
B,0.8545,0.5488,0.1023,0.1429,0.1080
B,0.8592,0.5366,0.1176,0.1238,0.1045
B,0.8498,0.5244,0.1074,0.1302,0.1150
B,0.8498,0.5407,0.0997,0.1365,0.1010
B,0.8545,0.5163,0.1176,0.1270,0.1115
B,0.8779,0.5285,0.1253,0.1460,0.0941
B,0.8920,0.5122,0.0997,0.1270,0.0697
B,0.8779,0.5041,0.1074,0.1143,0.0976
B,0.8779,0.4837,0.0742,0.1556,0.0906
B,0.8826,0.5122,0.1049,0.1302,0.0836
B,0.8545,0.5163,0.1151,0.1460,0.1080
